id,task,framework,constraint,fold,type,result,metric,mode,version,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,r2,rmse,models_ensemble_count,acc,auc,balacc,logloss,infer_batch_size_df_1,infer_batch_size_file_1,infer_batch_size_file_10,infer_batch_size_file_100,infer_batch_size_file_1000,infer_batch_size_file_10000
openml.org/t/359944,abalone,AutoGluon_bq_v1,4h8c,0,regression,-2.09647,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T14:00:36,8149.6,7520.3,7.9,216.0,1353545784,,1.48917,0.573887,2.09647,118.0,,,,,,,,,,
openml.org/t/359944,abalone,AutoGluon_bq_v1,4h8c,1,regression,-2.05623,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T13:08:10,5002.2,4809.7,0.5,109.0,1353545785,,1.3913,0.598758,2.05623,6.0,,,,,,,,,,
openml.org/t/359944,abalone,AutoGluon_bq_v1,4h8c,2,regression,-2.03971,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T13:08:38,5011.9,4834.9,0.5,109.0,1353545786,,1.47152,0.6042,2.03971,7.0,,,,,,,,,,
openml.org/t/359944,abalone,AutoGluon_bq_v1,4h8c,3,regression,-2.0307,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T14:03:43,8317.8,7712.9,7.7,216.0,1353545787,,1.43564,0.613297,2.0307,116.0,,,,,,,,,,
openml.org/t/359944,abalone,AutoGluon_bq_v1,4h8c,4,regression,-2.30861,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T14:05:45,8435.6,7808.8,8.5,216.0,1353545788,,1.55785,0.565344,2.30861,118.0,,,,,,,,,,
openml.org/t/359944,abalone,AutoGluon_bq_v1,4h8c,5,regression,-2.0688,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T14:01:15,8163.1,7550.0,7.9,216.0,1353545789,,1.46315,0.606714,2.0688,118.0,,,,,,,,,,
openml.org/t/359944,abalone,AutoGluon_bq_v1,4h8c,6,regression,-1.90066,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T14:01:06,8111.8,7443.9,9.2,216.0,1353545790,,1.34231,0.614496,1.90066,117.0,,,,,,,,,,
openml.org/t/359944,abalone,AutoGluon_bq_v1,4h8c,7,regression,-1.87904,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T14:01:55,8191.6,7575.2,7.8,216.0,1353545791,,1.32291,0.612609,1.87904,116.0,,,,,,,,,,
openml.org/t/359944,abalone,AutoGluon_bq_v1,4h8c,8,regression,-2.08435,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T13:58:28,7954.3,7318.5,8.1,216.0,1353545792,,1.4382,0.584667,2.08435,117.0,,,,,,,,,,
openml.org/t/359944,abalone,AutoGluon_bq_v1,4h8c,9,regression,-2.07391,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T14:02:10,8177.7,7556.3,8.1,216.0,1353545793,,1.4831,0.554529,2.07391,118.0,,,,,,,,,,
